"id","nama","jenis_kelamin","kelas","pernyataan_satu","pernyataan_dua","pernyataan_tiga","pernyataan_empat","pernyataan_lima","pernyataan_enam","pernyataan_tujuh","pernyataan_delapan","pernyataan_sembilan","pernyataan_sepuluh","pernyataan_sebelas","pernyataan_duabelas","pernyataan_tigabelas","pernyataan_empatbelas","pernyataan_limabelas"
"1","Reymundo Bogan","perempuan","12","SS","TS","TS","TS","S","SS","STS","TS","TS","STS","TS","STS","STS","STS","S"
"2","Keshawn Hyatt","laki-laki","12","STS","SS","S","TS","TS","S","S","STS","S","SS","TS","SS","TS","S","S"
"3","Keara Nikolaus Sr.","laki-laki","11","TS","TS","S","TS","STS","SS","TS","TS","S","STS","S","SS","S","TS","STS"
"4","Dr. Bailee Ratke","laki-laki","10","STS","S","S","STS","S","TS","STS","STS","TS","STS","TS","TS","SS","SS","STS"
"5","Ms. Felipa Pollich","perempuan","11","SS","TS","TS","STS","S","S","S","SS","SS","TS","SS","SS","STS","TS","SS"
"6","Jaunita McLaughlin MD","perempuan","11","TS","S","TS","S","STS","STS","SS","TS","STS","SS","TS","SS","TS","SS","STS"
"7","Enos Robel","perempuan","11","SS","SS","SS","TS","STS","S","TS","S","SS","SS","S","TS","TS","TS","S"
"8","Prof. Matilda Kris MD","perempuan","12","TS","SS","STS","TS","STS","S","S","SS","SS","SS","STS","TS","SS","S","TS"
"9","Cody Reilly","laki-laki","12","SS","S","TS","STS","S","STS","STS","STS","STS","S","STS","TS","TS","SS","STS"
"10","Dina Krajcik","laki-laki","12","SS","SS","S","S","SS","TS","TS","TS","STS","S","TS","STS","TS","S","SS"
"11","Nikki Kris","perempuan","12","TS","S","STS","STS","STS","SS","STS","SS","S","STS","TS","S","S","SS","TS"
"12","Buster O'Conner","laki-laki","11","SS","SS","SS","SS","SS","SS","S","S","TS","S","STS","S","STS","STS","SS"
"13","Valentine Anderson","laki-laki","11","STS","TS","TS","STS","SS","S","S","STS","TS","TS","S","STS","SS","SS","S"
"14","Delpha Boehm","laki-laki","12","SS","S","TS","TS","TS","SS","SS","S","SS","SS","SS","STS","TS","S","TS"
"15","Mr. Floy Witting II","laki-laki","12","TS","S","TS","STS","SS","STS","TS","STS","STS","TS","TS","S","S","TS","S"
"16","Frieda Emard","perempuan","10","SS","SS","SS","TS","STS","TS","SS","SS","STS","SS","SS","TS","TS","STS","S"
"17","Bettye Kuvalis","perempuan","11","S","S","STS","SS","STS","TS","S","STS","STS","S","TS","TS","STS","SS","S"
"18","Henderson Mills","laki-laki","10","TS","TS","STS","SS","S","S","S","S","S","S","STS","STS","S","TS","TS"
"19","Prof. Jade Conn Sr.","perempuan","12","S","TS","STS","SS","S","S","TS","TS","STS","S","S","S","STS","TS","S"
"20","Lacy Fahey","perempuan","12","S","STS","S","S","S","S","SS","SS","STS","S","SS","STS","SS","SS","STS"
"21","Carolyn Braun","perempuan","11","S","SS","SS","TS","STS","S","TS","STS","SS","SS","SS","STS","SS","STS","S"
"22","Leon Carter","perempuan","11","TS","S","S","SS","TS","S","S","SS","SS","STS","S","SS","TS","S","SS"
"23","Aliya McCullough","perempuan","12","SS","S","STS","TS","S","TS","SS","S","S","S","STS","TS","SS","STS","TS"
"24","Rod Mills","laki-laki","10","TS","STS","STS","S","S","SS","S","SS","STS","S","S","SS","STS","TS","SS"
"25","Arvilla Boyle","laki-laki","10","S","SS","S","SS","SS","SS","SS","STS","STS","S","STS","SS","TS","S","SS"
"26","Tyrese Yost","perempuan","10","STS","SS","STS","S","STS","TS","STS","SS","TS","SS","SS","SS","TS","SS","TS"
"27","Turner White","perempuan","11","TS","STS","S","TS","S","SS","TS","TS","S","S","STS","TS","TS","S","TS"
"28","Luis Parisian","perempuan","11","TS","STS","STS","TS","TS","TS","TS","TS","STS","STS","TS","SS","SS","S","STS"
"29","Dessie Cole","perempuan","11","S","S","S","SS","STS","STS","STS","S","TS","TS","TS","SS","S","S","SS"
"30","May Runolfsdottir","laki-laki","12","SS","STS","TS","TS","TS","S","STS","TS","S","S","STS","S","STS","STS","TS"
"31","Parker Conroy I","laki-laki","10","SS","TS","TS","TS","S","S","STS","TS","TS","TS","STS","SS","STS","TS","SS"
"32","Carol Kihn","laki-laki","10","SS","STS","TS","STS","S","S","SS","SS","SS","S","SS","SS","SS","TS","TS"
"33","Mr. Keeley Macejkovic","laki-laki","12","STS","STS","S","STS","TS","S","SS","TS","TS","STS","STS","TS","S","S","STS"
"34","Gilberto Powlowski","laki-laki","12","STS","SS","STS","STS","TS","TS","TS","SS","STS","TS","SS","STS","STS","TS","S"
"35","Brigitte Hammes","laki-laki","10","S","STS","STS","SS","TS","TS","STS","S","STS","S","TS","TS","SS","TS","STS"
"36","Miss Herminia O'Reilly Sr.","perempuan","11","SS","S","STS","S","SS","S","STS","S","STS","STS","TS","SS","S","TS","TS"
"37","Ila Beier","perempuan","10","SS","SS","SS","STS","STS","STS","TS","S","SS","TS","S","SS","SS","SS","S"
"38","Santina Grady","perempuan","11","STS","STS","SS","STS","S","TS","SS","STS","STS","STS","S","SS","SS","STS","S"
"39","Victor Stokes PhD","perempuan","10","TS","S","S","STS","STS","STS","TS","S","S","SS","TS","STS","TS","STS","STS"
